date,quarter,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,department_sweing,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,month
01/01/2015,1,0.3333333333333333,0.5,0.5364173228346457,1108,0.5652173913043478,1.96,0,0,0,0.5208333333333334,0.8371890829666677,True,False,False,True,False,False,1
01/01/2015,1,-0.833333333,0,-0.557086614,,-0.543478261,0,0,0,0,-0.541666667,0.5659879006357846,False,False,False,True,False,False,1
01/01/2015,1,0.8333333333333334,0.5,-0.189468504,968,-0.054347826,1,0,0,0,-0.072916667,0.1362229961380154,True,False,False,True,False,False,1
01/01/2015,1,1,0.5,-0.189468504,968,-0.054347826,1,0,0,0,-0.072916667,0.1362229961380154,True,False,False,True,False,False,1
01/01/2015,1,0,0.5,0.5236220472440944,1170,-0.369565217,1,0,0,0,0.4583333333333333,0.1352799986148217,True,False,False,True,False,False,1
01/01/2015,1,0.16666666666666666,0.5,0.5236220472440944,984,0.5,0.76,0,0,0,0.4583333333333333,0.1339949276747988,True,False,False,True,False,False,1
01/01/2015,1,-0.666666667,0,-0.557086614,,-0.543478261,0,0,0,0,-0.541666667,-0.090858142,False,False,False,True,False,False,1
01/01/2015,1,-0.5,0,0.6309055118110235,795,0.532608696,0.9,0,0,0,0.4895833333333333,-0.098276113,True,False,False,True,False,False,1
01/01/2015,1,-0.666666667,0,0.22687007874015755,733,0.3695652173913043,0.68,0,0,0,0.4375,-0.101206649,True,False,False,True,False,False,1
01/01/2015,1,-0.833333333,0,0.6309055118110235,681,0.532608696,0.9,0,0,0,0.4895833333333333,-0.11455882,True,False,False,True,False,False,1
01/01/2015,1,0.5,-0.5,0.6309055118110235,872,0.532608696,0.88,0,0,0,0.4895833333333333,-0.261103185,True,False,False,True,False,False,1
01/01/2015,1,0.6666666666666666,0,0.1993110236220472,578,0.45652173913043476,0.9,0,0,0,0.4166666666666667,-0.30572392,True,False,False,True,False,False,1
01/01/2015,1,-0.166666667,0.5,-0.189468504,668,-0.054347826,1,0,0,0,-0.072916667,-0.331527692,True,False,False,True,False,False,1
01/01/2015,1,0.6666666666666666,-1,-0.557086614,,-0.543478261,0,0,0,0,-0.541666667,-0.337175409,False,False,False,True,False,False,1
01/01/2015,1,0.3333333333333333,0,-0.608267717,,-0.543478261,0,0,0,0,-0.541666667,-0.48346536,False,False,False,True,False,False,1
